id,user_id,title,description,status,video_data,category_id,thumbnail,created_at,updated_at,published_at,views,rating_sum,rating_count
JNnoXfS8uQ12,93241530-2b99-4e2e-8e9e-02db2e4b345a,Quiet Fireplace,Wind down with this soothing combination.,published,"[{""volume"":48,""endTime"":30,""videoId"":""KwGNDJfSmFk"",""startTime"":23,""playbackSpeed"":0.75},{""volume"":96,""endTime"":130,""videoId"":""yalgajSyYfU"",""startTime"":117,""playbackSpeed"":1.5},{""volume"":80,""endTime"":155,""videoId"":""ZPGi2yBqdqw"",""startTime"":129,""playbackSpeed"":1.4}]",112,https://img.youtube.com//vi/KwGNDJfSmFk/mqdefault.jpg,2026-04-30 19:11:03.717+00,2026-05-27 10:06:02.625+00,2026-06-01 07:35:02.866+00,6312,42,26
nAy6bwuGxnfR,93241530-2b99-4e2e-8e9e-02db2e4b345a,Rainy Beach,A relaxing mix of sounds for focus and calm.,published,"[{""volume"":46,""endTime"":43,""videoId"":""u01pQX7Bsp0"",""startTime"":38,""playbackSpeed"":1.35},{""volume"":62,""endTime"":31,""videoId"":""KwGNDJfSmFk"",""startTime"":24,""playbackSpeed"":0.8},{""volume"":27,""endTime"":152,""videoId"":""ZPGi2yBqdqw"",""startTime"":89,""playbackSpeed"":1.5},{""volume"":74,""endTime"":37,""videoId"":""1_9RzbkETVg"",""startTime"":0,""playbackSpeed"":1.95},{""volume"":52,""endTime"":157,""videoId"":""03HomOQeirg"",""startTime"":150,""playbackSpeed"":1.3}]",106,https://img.youtube.com//vi/u01pQX7Bsp0/mqdefault.jpg,2024-06-26 03:23:41.373+00,2024-07-22 14:40:58.182+00,2024-07-28 03:14:14.521+00,10939,38,12
tuHcJw62IETa,93241530-2b99-4e2e-8e9e-02db2e4b345a,Soft Study Retreat,Turn your space into a serene retreat.,draft,"[{""volume"":45,""endTime"":162,""videoId"":""03HomOQeirg"",""startTime"":145,""playbackSpeed"":0.8},{""volume"":90,""endTime"":54,""videoId"":""1_9RzbkETVg"",""startTime"":13,""playbackSpeed"":1.65},{""volume"":88,""endTime"":155,""videoId"":""ZPGi2yBqdqw"",""startTime"":89,""playbackSpeed"":0.9},{""volume"":88,""endTime"":145,""videoId"":""yalgajSyYfU"",""startTime"":69,""playbackSpeed"":1.25},{""volume"":85,""endTime"":24,""videoId"":""KwGNDJfSmFk"",""startTime"":19,""playbackSpeed"":0.5},{""volume"":34,""endTime"":50,""videoId"":""u01pQX7Bsp0"",""startTime"":5,""playbackSpeed"":1}]",0,https://img.youtube.com//vi/03HomOQeirg/mqdefault.jpg,2023-10-22 09:47:21.960+00,2023-11-06 03:18:15.297+00,,0,0,0
Ids27NsMngZF,93241530-2b99-4e2e-8e9e-02db2e4b345a,Cozy Forest,Designed to reduce stress and boost creativity.,published,"[{""volume"":33,""endTime"":22,""videoId"":""KwGNDJfSmFk"",""startTime"":4,""playbackSpeed"":0.95},{""volume"":26,""endTime"":158,""videoId"":""yalgajSyYfU"",""startTime"":143,""playbackSpeed"":0.75}]",199,https://img.youtube.com//vi/KwGNDJfSmFk/mqdefault.jpg,2023-11-15 08:32:13.089+00,2023-12-10 04:46:54.587+00,2023-12-15 02:13:44.318+00,13687,222,147
H5G0w7UuJ1yh,93241530-2b99-4e2e-8e9e-02db2e4b345a,Quiet Lakeside Escape,Sit back and let the ambiance take over.,published,"[{""volume"":45,""endTime"":10,""videoId"":""KwGNDJfSmFk"",""startTime"":5,""playbackSpeed"":1.4},{""volume"":26,""endTime"":43,""videoId"":""u01pQX7Bsp0"",""startTime"":28,""playbackSpeed"":1.8},{""volume"":67,""endTime"":157,""videoId"":""yalgajSyYfU"",""startTime"":136,""playbackSpeed"":1.55},{""volume"":78,""endTime"":42,""videoId"":""1_9RzbkETVg"",""startTime"":33,""playbackSpeed"":0.3},{""volume"":85,""endTime"":131,""videoId"":""ZPGi2yBqdqw"",""startTime"":117,""playbackSpeed"":1.5}]",183,https://img.youtube.com//vi/KwGNDJfSmFk/mqdefault.jpg,2025-09-18 23:31:53.554+00,2025-10-07 12:16:28.776+00,2025-10-08 17:10:46.499+00,14892,337,162
4SxCLX1yBWPp,93241530-2b99-4e2e-8e9e-02db2e4b345a,Breezy Cottage Lounge,Let these sounds transport you somewhere peaceful.,published,"[{""volume"":39,""endTime"":39,""videoId"":""u01pQX7Bsp0"",""startTime"":7,""playbackSpeed"":0.3},{""volume"":56,""endTime"":119,""videoId"":""03HomOQeirg"",""startTime"":101,""playbackSpeed"":0.25},{""volume"":68,""endTime"":63,""videoId"":""1_9RzbkETVg"",""startTime"":39,""playbackSpeed"":1.5},{""volume"":64,""endTime"":170,""videoId"":""ZPGi2yBqdqw"",""startTime"":15,""playbackSpeed"":0.65},{""volume"":48,""endTime"":34,""videoId"":""KwGNDJfSmFk"",""startTime"":13,""playbackSpeed"":0.25}]",191,https://img.youtube.com//vi/u01pQX7Bsp0/mqdefault.jpg,2023-03-21 05:44:18.524+00,2023-03-23 10:16:55.379+00,2023-03-27 15:02:46.665+00,2951,83,43
9RxfKYANQblF,93241530-2b99-4e2e-8e9e-02db2e4b345a,Serene Beach Haven,Designed to reduce stress and boost creativity.,published,"[{""volume"":90,""endTime"":150,""videoId"":""yalgajSyYfU"",""startTime"":75,""playbackSpeed"":1.65},{""volume"":40,""endTime"":21,""videoId"":""KwGNDJfSmFk"",""startTime"":8,""playbackSpeed"":0.85},{""volume"":56,""endTime"":51,""videoId"":""u01pQX7Bsp0"",""startTime"":32,""playbackSpeed"":1}]",134,https://img.youtube.com//vi/yalgajSyYfU/mqdefault.jpg,2026-10-15 15:08:26.739+00,2026-10-20 23:40:42.392+00,2026-10-21 08:51:03.954+00,4622,680,169
YGxbBXKygHz7,93241530-2b99-4e2e-8e9e-02db2e4b345a,Ambient Morning Scene,This is a description,published,"[{""volume"":77,""endTime"":37,""videoId"":""u01pQX7Bsp0"",""startTime"":0,""playbackSpeed"":0.9},{""volume"":36,""endTime"":24,""videoId"":""KwGNDJfSmFk"",""startTime"":14,""playbackSpeed"":1.45},{""volume"":95,""endTime"":146,""videoId"":""03HomOQeirg"",""startTime"":47,""playbackSpeed"":1.95},{""volume"":64,""endTime"":127,""videoId"":""ZPGi2yBqdqw"",""startTime"":117,""playbackSpeed"":0.65},{""volume"":45,""endTime"":57,""videoId"":""1_9RzbkETVg"",""startTime"":49,""playbackSpeed"":1.4},{""volume"":24,""endTime"":146,""videoId"":""yalgajSyYfU"",""startTime"":135,""playbackSpeed"":1.6}]",170,https://img.youtube.com//vi/u01pQX7Bsp0/mqdefault.jpg,2024-11-29 06:02:53.674+00,2024-12-17 16:59:17.149+00,2024-12-24 13:49:08.333+00,1726,270,179
ZWt7z9iujRRT,93241530-2b99-4e2e-8e9e-02db2e4b345a,Chill Garden Vibes,Crafted for comfort and concentration.,published,"[{""volume"":32,""endTime"":148,""videoId"":""ZPGi2yBqdqw"",""startTime"":127,""playbackSpeed"":0.3},{""volume"":98,""endTime"":61,""videoId"":""1_9RzbkETVg"",""startTime"":54,""playbackSpeed"":1.8},{""volume"":31,""endTime"":47,""videoId"":""u01pQX7Bsp0"",""startTime"":25,""playbackSpeed"":1.85},{""volume"":29,""endTime"":155,""videoId"":""03HomOQeirg"",""startTime"":139,""playbackSpeed"":1.65},{""volume"":50,""endTime"":34,""videoId"":""KwGNDJfSmFk"",""startTime"":19,""playbackSpeed"":0.95},{""volume"":46,""endTime"":157,""videoId"":""yalgajSyYfU"",""startTime"":142,""playbackSpeed"":1.95}]",138,https://img.youtube.com//vi/ZPGi2yBqdqw/mqdefault.jpg,2026-01-23 12:18:21.585+00,2026-02-03 05:20:05.396+00,2026-02-06 08:35:06.088+00,12533,351,182
GFlEAvROwVPj,93241530-2b99-4e2e-8e9e-02db2e4b345a,Mellow Garden Scene,Wind down with this soothing combination.,draft,"[{""volume"":21,""endTime"":156,""videoId"":""03HomOQeirg"",""startTime"":114,""playbackSpeed"":0.95},{""volume"":77,""endTime"":43,""videoId"":""u01pQX7Bsp0"",""startTime"":18,""playbackSpeed"":1.25},{""volume"":53,""endTime"":38,""videoId"":""1_9RzbkETVg"",""startTime"":29,""playbackSpeed"":1.05}]",0,https://img.youtube.com//vi/03HomOQeirg/mqdefault.jpg,2023-10-03 02:00:35.031+00,2023-10-11 05:21:25.011+00,,0,0,0
zFYJttp7sHAR,93241530-2b99-4e2e-8e9e-02db2e4b345a,Soft Cabin,Wind down with this soothing combination.,published,"[{""volume"":61,""endTime"":50,""videoId"":""1_9RzbkETVg"",""startTime"":43,""playbackSpeed"":1.45},{""volume"":98,""endTime"":27,""videoId"":""KwGNDJfSmFk"",""startTime"":9,""playbackSpeed"":1.9},{""volume"":39,""endTime"":95,""videoId"":""yalgajSyYfU"",""startTime"":20,""playbackSpeed"":1.75},{""volume"":95,""endTime"":159,""videoId"":""ZPGi2yBqdqw"",""startTime"":140,""playbackSpeed"":0.7},{""volume"":57,""endTime"":160,""videoId"":""03HomOQeirg"",""startTime"":9,""playbackSpeed"":1.95},{""volume"":80,""endTime"":48,""videoId"":""u01pQX7Bsp0"",""startTime"":37,""playbackSpeed"":0.85}]",163,https://img.youtube.com//vi/1_9RzbkETVg/mqdefault.jpg,2025-04-16 00:15:39.671+00,2025-05-13 02:07:07.038+00,2025-05-19 14:19:57.323+00,9108,65,15
bLJaoAEZDXrz,93241530-2b99-4e2e-8e9e-02db2e4b345a,Mellow Café Ambiance,A relaxing mix of sounds for focus and calm.,published,"[{""volume"":51,""endTime"":47,""videoId"":""u01pQX7Bsp0"",""startTime"":41,""playbackSpeed"":0.35},{""volume"":81,""endTime"":119,""videoId"":""03HomOQeirg"",""startTime"":40,""playbackSpeed"":0.55},{""volume"":98,""endTime"":148,""videoId"":""yalgajSyYfU"",""startTime"":121,""playbackSpeed"":0.55}]",168,https://img.youtube.com//vi/u01pQX7Bsp0/mqdefault.jpg,2026-09-29 13:49:53.694+00,2026-10-29 06:11:29.756+00,2026-10-29 18:51:33.620+00,14306,145,81
jS1ayl81d1zu,93241530-2b99-4e2e-8e9e-02db2e4b345a,Dreamy Garden Atmosphere,Designed to reduce stress and boost creativity.,draft,"[{""volume"":87,""endTime"":15,""videoId"":""KwGNDJfSmFk"",""startTime"":9,""playbackSpeed"":1},{""volume"":30,""endTime"":56,""videoId"":""1_9RzbkETVg"",""startTime"":35,""playbackSpeed"":0.25},{""volume"":100,""endTime"":169,""videoId"":""03HomOQeirg"",""startTime"":147,""playbackSpeed"":1.9},{""volume"":99,""endTime"":75,""videoId"":""yalgajSyYfU"",""startTime"":57,""playbackSpeed"":1.95},{""volume"":92,""endTime"":149,""videoId"":""ZPGi2yBqdqw"",""startTime"":43,""playbackSpeed"":1.8}]",0,https://img.youtube.com//vi/KwGNDJfSmFk/mqdefault.jpg,2024-07-27 11:56:03.115+00,2024-08-04 15:09:07.059+00,,0,0,0
nFxa2GmezaRd,93241530-2b99-4e2e-8e9e-02db2e4b345a,Dreamy Rooftop Retreat,Let these sounds transport you somewhere peaceful.,published,"[{""volume"":73,""endTime"":50,""videoId"":""u01pQX7Bsp0"",""startTime"":28,""playbackSpeed"":1.3},{""volume"":34,""endTime"":121,""videoId"":""ZPGi2yBqdqw"",""startTime"":73,""playbackSpeed"":0.85},{""volume"":44,""endTime"":57,""videoId"":""1_9RzbkETVg"",""startTime"":11,""playbackSpeed"":1.35},{""volume"":26,""endTime"":113,""videoId"":""yalgajSyYfU"",""startTime"":105,""playbackSpeed"":1.75},{""volume"":43,""endTime"":156,""videoId"":""03HomOQeirg"",""startTime"":118,""playbackSpeed"":1.75},{""volume"":41,""endTime"":26,""videoId"":""KwGNDJfSmFk"",""startTime"":3,""playbackSpeed"":1.5}]",122,https://img.youtube.com//vi/u01pQX7Bsp0/mqdefault.jpg,2023-11-05 22:31:25.000+00,2023-11-18 17:17:46.849+00,2023-11-25 03:44:32.853+00,11680,195,166
UUa0ALEOMJee,93241530-2b99-4e2e-8e9e-02db2e4b345a,Midnight Dusk Atmosphere,Perfect background ambiance for studying.,submitted,"[{""volume"":20,""endTime"":25,""videoId"":""03HomOQeirg"",""startTime"":2,""playbackSpeed"":1.3},{""volume"":36,""endTime"":61,""videoId"":""1_9RzbkETVg"",""startTime"":13,""playbackSpeed"":0.85},{""volume"":47,""endTime"":41,""videoId"":""u01pQX7Bsp0"",""startTime"":35,""playbackSpeed"":1.45}]",111,https://img.youtube.com//vi/03HomOQeirg/mqdefault.jpg,2025-02-16 22:32:37.597+00,2025-03-05 00:40:19.280+00,,0,0,0
61ZvZQ4Cq4lP,93241530-2b99-4e2e-8e9e-02db2e4b345a,Cozy Evening Soundscape,A cozy atmosphere to help you unwind.,published,"[{""volume"":44,""endTime"":151,""videoId"":""yalgajSyYfU"",""startTime"":136,""playbackSpeed"":0.9},{""volume"":95,""endTime"":49,""videoId"":""u01pQX7Bsp0"",""startTime"":10,""playbackSpeed"":1.7},{""volume"":54,""endTime"":171,""videoId"":""ZPGi2yBqdqw"",""startTime"":49,""playbackSpeed"":1.85}]",128,https://img.youtube.com//vi/yalgajSyYfU/mqdefault.jpg,2023-04-25 14:59:56.859+00,2023-05-16 20:39:08.614+00,2023-05-16 22:13:48.018+00,933,8,7
bmfCeiIouyMe,93241530-2b99-4e2e-8e9e-02db2e4b345a,Dreamy Library Mood,Crafted for comfort and concentration.,published,"[{""volume"":38,""endTime"":140,""videoId"":""yalgajSyYfU"",""startTime"":92,""playbackSpeed"":0.55},{""volume"":20,""endTime"":16,""videoId"":""KwGNDJfSmFk"",""startTime"":3,""playbackSpeed"":0.55}]",194,https://img.youtube.com//vi/yalgajSyYfU/mqdefault.jpg,2024-05-15 12:41:48.576+00,2024-05-26 21:23:11.960+00,2024-05-29 19:12:59.564+00,6956,373,199
4jXtK1837nKr,93241530-2b99-4e2e-8e9e-02db2e4b345a,Peaceful Dusk Retreat,Background sounds for a productive day.,draft,"[{""volume"":99,""endTime"":133,""videoId"":""yalgajSyYfU"",""startTime"":82,""playbackSpeed"":1.1},{""volume"":30,""endTime"":28,""videoId"":""u01pQX7Bsp0"",""startTime"":13,""playbackSpeed"":1.2}]",0,https://img.youtube.com//vi/yalgajSyYfU/mqdefault.jpg,2025-04-14 17:20:59.457+00,2025-04-26 23:34:20.421+00,,0,0,0
vkCqWMl0DzLf,93241530-2b99-4e2e-8e9e-02db2e4b345a,Peaceful Garden Soundscape,Ideal for meditation and relaxation.,published,"[{""volume"":60,""endTime"":32,""videoId"":""KwGNDJfSmFk"",""startTime"":13,""playbackSpeed"":0.5},{""volume"":66,""endTime"":177,""videoId"":""ZPGi2yBqdqw"",""startTime"":67,""playbackSpeed"":0.6},{""volume"":49,""endTime"":145,""videoId"":""yalgajSyYfU"",""startTime"":106,""playbackSpeed"":0.85},{""volume"":20,""endTime"":161,""videoId"":""03HomOQeirg"",""startTime"":140,""playbackSpeed"":0.25},{""volume"":83,""endTime"":53,""videoId"":""1_9RzbkETVg"",""startTime"":30,""playbackSpeed"":0.25}]",141,https://img.youtube.com//vi/KwGNDJfSmFk/mqdefault.jpg,2024-03-06 05:12:42.728+00,2024-03-07 22:22:32.143+00,2024-03-08 08:42:55.453+00,14021,521,161
hafZv8zCknIW,93241530-2b99-4e2e-8e9e-02db2e4b345a,Foggy Café Soundscape,Let these sounds transport you somewhere peaceful.,draft,"[{""volume"":46,""endTime"":76,""videoId"":""yalgajSyYfU"",""startTime"":30,""playbackSpeed"":1.35},{""volume"":85,""endTime"":58,""videoId"":""1_9RzbkETVg"",""startTime"":53,""playbackSpeed"":1.3}]",0,https://img.youtube.com//vi/yalgajSyYfU/mqdefault.jpg,2024-04-10 01:23:39.938+00,2024-05-02 13:23:15.975+00,,0,0,0
nzpUcpl0bxWs,93241530-2b99-4e2e-8e9e-02db2e4b345a,Ambient Forest Escape,Great for reading or deep work sessions.,submitted,"[{""volume"":61,""endTime"":120,""videoId"":""ZPGi2yBqdqw"",""startTime"":97,""playbackSpeed"":1.3},{""volume"":46,""endTime"":27,""videoId"":""KwGNDJfSmFk"",""startTime"":21,""playbackSpeed"":1.55},{""volume"":39,""endTime"":96,""videoId"":""03HomOQeirg"",""startTime"":57,""playbackSpeed"":0.8},{""volume"":22,""endTime"":59,""videoId"":""1_9RzbkETVg"",""startTime"":2,""playbackSpeed"":1.05},{""volume"":60,""endTime"":135,""videoId"":""yalgajSyYfU"",""startTime"":82,""playbackSpeed"":0.25}]",147,https://img.youtube.com//vi/ZPGi2yBqdqw/mqdefault.jpg,2026-07-12 22:52:34.488+00,2026-07-16 14:13:35.188+00,,0,0,0
MH4XtbgJuz2w,93241530-2b99-4e2e-8e9e-02db2e4b345a,Warm Morning Lounge,Crafted for comfort and concentration.,draft,"[{""volume"":63,""endTime"":109,""videoId"":""ZPGi2yBqdqw"",""startTime"":32,""playbackSpeed"":0.35},{""volume"":46,""endTime"":50,""videoId"":""u01pQX7Bsp0"",""startTime"":27,""playbackSpeed"":0.55},{""volume"":44,""endTime"":145,""videoId"":""yalgajSyYfU"",""startTime"":133,""playbackSpeed"":0.95},{""volume"":79,""endTime"":159,""videoId"":""03HomOQeirg"",""startTime"":24,""playbackSpeed"":1.35},{""volume"":85,""endTime"":42,""videoId"":""1_9RzbkETVg"",""startTime"":0,""playbackSpeed"":1.45},{""volume"":37,""endTime"":33,""videoId"":""KwGNDJfSmFk"",""startTime"":14,""playbackSpeed"":0.45}]",0,https://img.youtube.com//vi/ZPGi2yBqdqw/mqdefault.jpg,2023-08-11 01:35:31.265+00,2023-08-11 22:42:17.361+00,,0,0,0
1w5JC7PIlwug,93241530-2b99-4e2e-8e9e-02db2e4b345a,Ambient Rainfall Haven,Layered sounds for a warm evening in.,published,"[{""volume"":48,""endTime"":150,""videoId"":""yalgajSyYfU"",""startTime"":53,""playbackSpeed"":1.95},{""volume"":75,""endTime"":165,""videoId"":""03HomOQeirg"",""startTime"":70,""playbackSpeed"":1.1},{""volume"":57,""endTime"":29,""videoId"":""KwGNDJfSmFk"",""startTime"":24,""playbackSpeed"":1.25},{""volume"":37,""endTime"":171,""videoId"":""ZPGi2yBqdqw"",""startTime"":164,""playbackSpeed"":1},{""volume"":90,""endTime"":43,""videoId"":""u01pQX7Bsp0"",""startTime"":32,""playbackSpeed"":1.7},{""volume"":83,""endTime"":66,""videoId"":""1_9RzbkETVg"",""startTime"":33,""playbackSpeed"":1.15}]",168,https://img.youtube.com//vi/yalgajSyYfU/mqdefault.jpg,2024-11-29 11:42:18.557+00,2024-12-24 03:05:02.428+00,2024-12-27 11:44:13.579+00,9168,450,126
07LRdCTY4vqO,93241530-2b99-4e2e-8e9e-02db2e4b345a,Quiet Meadow Scene,Wind down with this soothing combination.,published,"[{""volume"":25,""endTime"":24,""videoId"":""KwGNDJfSmFk"",""startTime"":17,""playbackSpeed"":1},{""volume"":34,""endTime"":54,""videoId"":""ZPGi2yBqdqw"",""startTime"":17,""playbackSpeed"":0.8},{""volume"":47,""endTime"":50,""videoId"":""u01pQX7Bsp0"",""startTime"":41,""playbackSpeed"":1.85},{""volume"":89,""endTime"":39,""videoId"":""1_9RzbkETVg"",""startTime"":11,""playbackSpeed"":1},{""volume"":48,""endTime"":158,""videoId"":""yalgajSyYfU"",""startTime"":117,""playbackSpeed"":1.5},{""volume"":52,""endTime"":157,""videoId"":""03HomOQeirg"",""startTime"":147,""playbackSpeed"":1.35}]",167,https://img.youtube.com//vi/KwGNDJfSmFk/mqdefault.jpg,2026-07-23 10:05:16.283+00,2026-08-22 04:41:04.929+00,2026-08-24 18:55:44.482+00,3527,341,185
